Category: All categories

Month,fondue: (Switzerland),raclette: (Switzerland)
2004-01,14,4
2004-02,11,3
2004-03,6,3
2004-04,6,0
2004-05,6,0
2004-06,4,0
2004-07,3,0
2004-08,4,0
2004-09,11,3
2004-10,15,4
2004-11,23,5
2004-12,37,7
2005-01,15,3
2005-02,12,4
2005-03,8,2
2005-04,6,0
2005-05,5,1
2005-06,3,2
2005-07,5,1
2005-08,5,3
2005-09,9,3
2005-10,16,4
2005-11,22,6
2005-12,38,8
2006-01,16,5
2006-02,12,3
2006-03,8,2
2006-04,6,2
2006-05,3,1
2006-06,3,1
2006-07,4,1
2006-08,6,3
2006-09,7,2
2006-10,14,5
2006-11,20,6
2006-12,37,7
2007-01,15,4
2007-02,12,4
2007-03,8,2
2007-04,4,1
2007-05,5,1
2007-06,4,1
2007-07,4,2
2007-08,6,1
2007-09,8,4
2007-10,15,6
2007-11,21,7
2007-12,39,7
2008-01,15,4
2008-02,11,4
2008-03,8,3
2008-04,7,2
2008-05,5,2
2008-06,4,1
2008-07,4,1
2008-08,6,3
2008-09,9,4
2008-10,15,6
2008-11,23,8
2008-12,41,8
2009-01,15,5
2009-02,13,4
2009-03,9,3
2009-04,6,2
2009-05,4,2
2009-06,3,2
2009-07,5,2
2009-08,5,3
2009-09,9,4
2009-10,16,7
2009-11,23,8
2009-12,45,9
2010-01,16,6
2010-02,15,4
2010-03,9,3
2010-04,6,2
2010-05,5,2
2010-06,4,2
2010-07,4,2
2010-08,6,2
2010-09,10,4
2010-10,18,7
2010-11,25,8
2010-12,45,10
2011-01,17,6
2011-02,13,5
2011-03,9,3
2011-04,5,2
2011-05,4,2
2011-06,4,2
2011-07,6,3
2011-08,6,3
2011-09,9,5
2011-10,19,9
2011-11,25,10
2011-12,43,12
2012-01,20,7
2012-02,19,6
2012-03,10,4
2012-04,6,3
2012-05,5,2
2012-06,5,2
2012-07,5,3
2012-08,6,3
2012-09,12,6
2012-10,23,10
2012-11,35,12
2012-12,57,13
2013-01,21,8
2013-02,19,7
2013-03,12,5
2013-04,7,3
2013-05,6,3
2013-06,5,2
2013-07,5,3
2013-08,7,4
2013-09,12,6
2013-10,22,10
2013-11,32,13
2013-12,64,16
2014-01,21,8
2014-02,17,6
2014-03,12,4
2014-04,8,3
2014-05,6,3
2014-06,5,2
2014-07,7,4
2014-08,9,5
2014-09,12,6
2014-10,24,10
2014-11,34,14
2014-12,68,17
2015-01,24,10
2015-02,20,8
2015-03,13,5
2015-04,8,3
2015-05,7,3
2015-06,5,3
2015-07,7,4
2015-08,10,5
2015-09,16,8
2015-10,27,13
2015-11,36,15
2015-12,68,20
2016-01,26,10
2016-02,21,8
2016-03,15,6
2016-04,10,4
2016-05,7,3
2016-06,6,3
2016-07,7,4
2016-08,9,5
2016-09,15,8
2016-10,30,17
2016-11,41,19
2016-12,75,22
2017-01,30,13
2017-02,21,9
2017-03,13,6
2017-04,10,4
2017-05,8,3
2017-06,7,3
2017-07,9,5
2017-08,11,7
2017-09,20,12
2017-10,28,17
2017-11,51,20
2017-12,84,26
2018-01,29,14
2018-02,25,12
2018-03,18,9
2018-04,10,4
2018-05,8,4
2018-06,7,5
2018-07,8,6
2018-08,12,7
2018-09,19,12
2018-10,34,20
2018-11,51,21
2018-12,88,27
2019-01,38,15
2019-02,26,12
2019-03,17,8
2019-04,13,6
2019-05,11,5
2019-06,8,4
2019-07,10,7
2019-08,14,9
2019-09,20,13
2019-10,38,20
2019-11,56,23
2019-12,96,31
2020-01,36,16
2020-02,25,13
2020-03,14,6
2020-04,8,4
2020-05,9,5
2020-06,9,5
2020-07,9,6
2020-08,12,8
2020-09,18,12
2020-10,37,21
2020-11,42,26
2020-12,81,30
2021-01,28,17
2021-02,20,12
2021-03,13,8
2021-04,10,6
2021-05,9,6
2021-06,6,4
2021-07,9,7
2021-08,14,10
2021-09,17,11
2021-10,40,23
2021-11,56,26
2021-12,87,31
2022-01,34,18
2022-02,24,13
2022-03,17,9
2022-04,16,7
2022-05,9,5
2022-06,8,5
2022-07,10,7
2022-08,15,9
2022-09,23,15
2022-10,40,24
2022-11,58,27
2022-12,94,39
2023-01,37,20
2023-02,26,16
2023-03,17,10
2023-04,16,8
2023-05,11,6
2023-06,9,5
2023-07,12,8
2023-08,15,9
2023-09,18,13
2023-10,38,24
2023-11,61,27
2023-12,100,41
2024-01,38,19
2024-02,24,13
2024-03,18,10
2024-04,13,7
2024-05,12,6
2024-06,10,6
2024-07,11,7
2024-08,13,9
2024-09,23,16
2024-10,40,23
2024-11,57,26
2024-12,94,41
2025-01,37,17
2025-02,22,14
2025-03,16,10
2025-04,12,8
2025-05,11,6
2025-06,8,4
2025-07,13,9
2025-08,15,10
2025-09,22,15
2025-10,40,26
2025-11,61,30
2025-12,91,45
2026-01,48,24
